Province,DHI201801,DHI201802,DHI201803,DHI201804,DHI201805,DHI201806,DHI201807,DHI201808,DHI201809,DHI201810,DHI201811,DHI201812,DHI201901,DHI201902,DHI201903,DHI201904,DHI201905,DHI201906,DHI201907,DHI201908,DHI201909,DHI201910,DHI201911,DHI201912,DHI202001,DHI202002,DHI202003,DHI202004,DHI202005,DHI202006,DHI202007,DHI202008,DHI202009,DHI202010,DHI202011,DHI202012
An Giang,0.38364810542574734,0.26242405124333473,0.3437972069954563,0.5380419418852888,0.38100314637108557,0.42419309996628873,0.4943824981970126,0.66609212269853,0.5345080749532067,0.5801538547261593,0.5773205848209669,0.6453582613529844,0.4183534300974248,0.482036525340205,0.5479770417739376,0.4777216953335181,0.3739465587091754,0.3570551841967479,0.4566633302421455,0.48048344243180513,0.36031848408424055,0.46642835813885236,0.5873834600836323,0.6175886209976631,0.611437704310279,0.5889139457755733,0.6250262785883093,0.5956934482353338,0.48792809868154313,0.28776898980341137,0.43290553812919624,0.49703126491983335,0.4476708684968203,0.5270774918696896,0.5525088969638692,0.5538327045975203
Ba Ria - Vung Tau,0.4794761519656642,0.4807754419194838,0.3771367895278534,0.5788030292221307,0.695498384245563,0.7263493046382558,0.763051135823987,0.7533021031007022,0.632552870906174,0.6312788006400425,0.5017256659927748,0.6327159954272716,0.4520794240129525,0.6002514422531023,0.39606071059250003,0.4571327128389687,0.4528058180097316,0.6186823216218059,0.5666666351518559,0.7439172355308488,0.6220074507517211,0.8303117947107267,0.7054092558758964,0.7208548916917349,0.5701675004382103,0.621685527603767,0.5118095194173221,0.6892019488052623,0.8647453634921765,0.49443176564201985,0.52459383067901455,0.5630105613769184,0.7159886523525262,0.7066264382464421,0.6841949287835345,0.5762825807059102
Bac Giang,0.5108882483984184,0.6759629621992891,0.6984070649156621,0.6068323996928664,0.5075644919793106,0.5888798923357682,0.27835735217691426,0.23180606474199594,0.3395727386677714,0.31273193954701267,0.24572880674131195,0.3658387330476471,0.4960111040999145,0.5666839822854466,0.6445031052806544,0.4866764298585765,0.4452619919438598,0.4443190290166508,0.5178345843328198,0.600067319111585,0.4774622691335308,0.2986689005787446,0.33171959663888057,0.3721034912625676,0.2645435411830948,0.25675487912833933,0.38257885573448186,0.4317951409824861,0.39960185672660403,0.47446348595764976,0.6458922856188009,0.6060598070996864,0.48522819858887783,0.32813213110569317,0.35362943277476355,0.3848737117753433
Bac Kan,0.6223182172397307,0.6283553661838048,0.535906682308309,0.5158333777876463,0.43528171425158335,0.5967604907569847,0.6329425993089413,0.6143558356369494,0.6059865833012851,0.4004496982394195,0.37877883399549855,0.4557150882089051,0.6733454493965214,0.5785249335801773,0.5123059352328221,0.37555944794545754,0.38474531019868746,0.3759428819364657,0.44705163344688137,0.6351084207599246,0.547582090438949,0.43347405043197673,0.3758287459343588,0.43226682007154105,0.46484466038613126,0.37803568608803884,0.46809036143692345,0.4215204931087245,0.3264641904362961,0.5113778957385845,0.7248060492537931,0.7750198373291111,0.6073874574041993,0.4848839197493265,0.44006683106185257,0.6134657823721029
Bac Lieu,0.5180881409688691,0.4594255767928098,0.5497842016392563,0.7986684241411786,0.6848136524694479,0.7462934019559964,0.46670332413832233,0.5941557522096713,0.7124279727564216,0.8539836420225447,0.7581535165433434,0.7903503845505948,0.4539331080710866,0.4772754716707374,0.37717229087523996,0.5228546704619449,0.5436314840494505,0.4444334064326491,0.5525282642063954,0.6279027182621449,0.6949691145116569,0.737918003154385,0.7526138333456286,0.7349045034226942,0.7374547245958413,0.6532617668484489,0.5386030786889024,0.6996481588242737,0.7649888783582781,0.6031244034031698,0.5795823217942003,0.7598542787997208,0.8009282355512997,0.6385950275479755,0.5584366972830926,0.5976168508228067
Bac Ninh,0.5863670176479503,0.8466544388726517,0.8665178807657654,0.7359069711440366,0.5387648606039167,0.6769562804540167,0.25154713061610895,0.13841737585558578,0.32103686569312606,0.35726526706081563,0.29194201904168116,0.3502202882451756,0.44144263077954643,0.7089116688484528,0.8063666218327764,0.5551728181346879,0.5725462421740394,0.5923473431969944,0.6223872361640584,0.5175498320445784,0.41592048275218513,0.3747897901795461,0.3563920302153532,0.3791365317539922,0.2722572396452232,0.39942426667449754,0.4590804869021961,0.5167054843356185,0.42752737889378095,0.5239531574072747,0.5990569691174924,0.41206735912364534,0.35556142019131093,0.2971302867473196,0.3630176614316778,0.45178883283665605
Ben Tre,0.3518511371564431,0.34476929064322276,0.38671950310307895,0.54568186345261,0.5058561102639614,0.4690015000207,0.49545946741557756,0.6087588058405649,0.5782151986798966,0.5724621639999055,0.49889049359845833,0.5804043012039302,0.36630378989109597,0.5066052878071998,0.4462652995138062,0.3889465082235411,0.39712639816812656,0.4686982448211396,0.37906819787037527,0.594972650998295,0.559773379101955,0.7629619344667532,0.780574966668817,0.7630219056155066,0.6243990906298491,0.5740521553068028,0.5243121423398496,0.606787338686216,0.7589517330461499,0.4240405394690454,0.40798939099880926,0.41469270919525086,0.5392824088909474,0.525079186199136,0.49029295469915546,0.4949687566033028
Binh Dinh,0.4243284772325798,0.5241442906499306,0.47002263465752475,0.5789327041304411,0.5404837119592106,0.3426854498878598,0.3047478475594622,0.4680275828734283,0.5771234200291125,0.6027937620433892,0.5652646208488268,0.6906067505479805,0.641120358444209,0.603858041335236,0.6622402340615767,0.6176161419804845,0.4739364199704789,0.5593716772246026,0.6118749223129438,0.7147329968460076,0.5551646562183405,0.5285279178593374,0.5417701917397629,0.5661838673892171,0.6081348352611009,0.5512713105368522,0.6429474124757144,0.6894149148967833,0.6583894250794051,0.4823049327774205,0.4362584648690995,0.525139964658552,0.6263872296771046,0.5623201693739065,0.6647088223127114,0.6771004944924841
Binh Duong,0.24541874363577043,0.2421042610579541,0.19316563284058522,0.3738797131386969,0.2939236111245062,0.30036038144080074,0.5158989900536177,0.5832732223472894,0.46467047656611943,0.45776018928994106,0.29516571387037716,0.3502074086004673,0.2279488530728873,0.39546188501748114,0.24943686957314606,0.2299635211530505,0.1993479144345174,0.28450951970506355,0.3264001007155735,0.5214991083055692,0.403784522243335,0.5580080867232011,0.4793396485854832,0.43154892110483295,0.2832658796225654,0.2636806740117776,0.22635453590835453,0.32402934293877195,0.41365957045572416,0.115562071380645,0.26805385923678304,0.36656955926279944,0.4335547187537616,0.46067162023345504,0.4315597593392019,0.2781247963002126
Binh Phuoc,0.369014485363868,0.32336457919820455,0.22148536270508093,0.31565766351951013,0.3687614288198257,0.4508187738682116,0.6487650739394896,0.6858766727420091,0.5413464470545786,0.5094221178322306,0.359041876444334,0.45706268240117987,0.38867489959080087,0.5181556357855717,0.3118350135015325,0.26834187532254156,0.33522733093683255,0.467215527543509,0.42956854021197777,0.565662836866625,0.46739362425010583,0.5645828150285657,0.4381905716036378,0.4228900632037621,0.3621657179875129,0.3880109129348422,0.33019027676282037,0.4208649273766032,0.5053856550150877,0.27274175363079417,0.3894989698383717,0.4945732214221838,0.5871864280581898,0.5518136814818319,0.493029949781917,0.34995810472493016
