Province,DHI202201,DHI202202,DHI202203,DHI202204,DHI202205,DHI202206,DHI202207,DHI202208,DHI202209,DHI202210,DHI202211,DHI202212
An Giang,0.42170455376921845,0.37097438644442543,0.3340574524120085,0.39425472229062114,0.3706837933893395,0.4740538270521606,0.500107035633024,0.5890619798177118,0.5283397418632289,0.5682636911135087,0.5536230351801409,0.5103338496897738
Ba Ria - Vung Tau,0.48731156858135566,0.4724249069300121,0.39073058230092866,0.38116477413016364,0.4314613959405564,0.5280490905724071,0.5441167249023388,0.5966541140407262,0.5730461545776656,0.5733445049803598,0.5381144809309456,0.5205224934545833
Bac Giang,0.49586649326450954,0.3556067577577154,0.43247802817642206,0.4815479376786368,0.4112016691110924,0.4328440455378162,0.47210545768577894,0.5217530702993249,0.4893312967023224,0.48555912859948447,0.4940195593403281,0.5096296696687869
Bac Kan,0.5028637977995428,0.40861684632818823,0.46025271717592214,0.47588401017347964,0.39398983549444255,0.453578780343664,0.5325360884589798,0.6433691533730012,0.6132203395597675,0.5362225351610624,0.5683188962995616,0.5068076914267179
Bac Lieu,0.4635824162856231,0.4326725441927342,0.38117228300966555,0.42154680696580654,0.47298496049685823,0.5032095097639888,0.4923646521947313,0.5877424555524652,0.5889678384686429,0.6048675880688078,0.5435784345665474,0.4765443150625965
Bac Ninh,0.5118355715500557,0.42671878300549787,0.49531486574881955,0.5105892232087089,0.42804841124182363,0.46070126666716277,0.4999464419292089,0.5074769373396331,0.46415196322444086,0.49207790875684054,0.49030942679063866,0.5396994235697927
Ben Tre,0.43556609051926887,0.4073145251074482,0.32214544729876177,0.35087144532923276,0.3944673948444437,0.4837271552113925,0.5009087682164202,0.527809338997098,0.5586571338895436,0.5347956248686245,0.4701886466436713,0.4792543562819055
Binh Dinh,0.4926575043185565,0.4304544115615257,0.3487138789112744,0.3765364854375896,0.38987352936850445,0.49495190575753684,0.429721431852421,0.48906662487083524,0.4198852648957784,0.47356798589508214,0.5499138198722249,0.5736604413753151
Binh Duong,0.36849905964085666,0.2618864505363589,0.22508841944962565,0.2636025680019061,0.31572445799453347,0.4286523267872141,0.44023918649213784,0.4999016802608127,0.4748755383955249,0.5014013389927137,0.45644276620755797,0.44797181722411505
Binh Phuoc,0.4148668436231637,0.2877184829618027,0.2176653394968858,0.2909547080465726,0.3864938422829393,0.4798177490166648,0.4582523762165854,0.5059535018435427,0.49970451876611593,0.49513614396828914,0.4767018454346733,0.4789451601002365
Binh Thuan,0.44678260252294544,0.4177930346276975,0.3318661938323243,0.38004577345283236,0.41601485714273767,0.4978627779199554,0.49925752548898916,0.5584726499534383,0.5394541095915704,0.5486401907448292,0.5308004152335657,0.49327358167942875
Ca Mau,0.5556100925666472,0.5552752242347833,0.494322186473033,0.49479117528506966,0.5055881508166243,0.5514741927171289,0.5646968778093661,0.631328874346327,0.597202209331635,0.6198746021377983,0.5294961779825196,0.5155959555327796
Can Tho,0.4678785817461904,0.4733219815615328,0.3724974805576534,0.34580556602316576,0.4128165526987844,0.5587693064281628,0.491693655147137,0.5329309243223339,0.5452597973758622,0.6016031911521976,0.564662385357851,0.5008912491334568
Cao Bang,0.47396765803174296,0.3883671447690657,0.42171893745015177,0.4496169238528493,0.38998377729928596,0.4744272176295446,0.5511430880511617,0.6153893997714209,0.5725238303850316,0.5371282344583131,0.5551920531669748,0.4919294020370705
Da Nang,0.5516534095915148,0.46773261746632044,0.3809040086092935,0.3849317394942438,0.3713308838914919,0.4974869512447863,0.4861136016028144,0.5630211977131163,0.5245718986486988,0.5215973089421617,0.5518719360319826,0.5506367091453558
Dak Lak,0.4391985180709379,0.36460603985817946,0.25858111058665906,0.3259270566251085,0.37761208266286816,0.48888882077907,0.4319280850217045,0.4642938430978732,0.4236052839254136,0.44114001004891235,0.48601808499733973,0.49292096306537037
Dak Nong,0.49687454547534693,0.3821670438553099,0.30242338637507143,0.3851153394738586,0.44910738252152976,0.47977055743792413,0.4121329275403087,0.43528976787807755,0.46686354047943746,0.472963067971704,0.47737273965892807,0.4970657703069897
Dien Bien,0.4109873547272615,0.3276200119560798,0.24096082050016498,0.36600582966423967,0.4035118733439998,0.44030140022929715,0.525468653934242,0.5860134546957211,0.6026279584059748,0.5680786413341683,0.6261592439918776,0.5234492608610442
Dong Nai,0.3845410626791375,0.29405911801065604,0.25481131947355984,0.305716695922865,0.3679059471280785,0.4447414557290598,0.43424350436460596,0.4949769799576069,0.4900955264363092,0.49930155769902146,0.46822186809397565,0.4473219816891809
Dong Thap,0.4328592419615648,0.4077344000981543,0.33661647011106133,0.3357803502737777,0.32593171485075145,0.48289383390390833,0.47205506216245335,0.5376654838271946,0.550289222505411,0.5684147904050761,0.5384571343375888,0.4759807022229977
Gia Lai,0.457008076518931,0.38126254555200495,0.27707643254908426,0.33402232678028965,0.38436579974253493,0.5163512037628126,0.4854563565702697,0.5261313912572487,0.4324246627672959,0.4485719448707001,0.46458966760276493,0.47321795115352916
Ha Giang,0.46290724848710957,0.40303934216006737,0.4495355218177904,0.5071871567505032,0.4100783145654635,0.45728632035806765,0.5376372195081575,0.622677302192667,0.5971956684054144,0.5591961581014204,0.5654385117756712,0.5023407744501656
Ha Nam,0.5624344638277169,0.43067785505306044,0.4622016215007691,0.528451858019588,0.3881604965798549,0.4316985598897313,0.49689059088214677,0.5100715432466032,0.486080210892658,0.5424287236872035,0.5180745588304323,0.5239150284539572
Ha Noi,0.5159009400902999,0.38735926025215023,0.43681623676859177,0.5142994007942164,0.41909346716373297,0.4665005634669314,0.4846965243145319,0.5554438586021888,0.5437066465645991,0.5477096227734436,0.5493528514841252,0.5544229657014378
Ha Tinh,0.6525626818009072,0.478758128351898,0.38340677175068694,0.3705894530328019,0.360906929125867,0.49086320917798654,0.49600459147221077,0.5543137871337129,0.5183608073646752,0.5380684777656721,0.5078602179466786,0.584300790838323
Hai Duong,0.5345817443838327,0.3838698909397423,0.5059235099845154,0.555161390835184,0.4416782804748925,0.44564985283905834,0.48764423368633,0.5231071750427162,0.5151299355665275,0.5207986280944639,0.5033603984308243,0.5252017464108774
Hai Phong,0.5587188414392263,0.4510033186645482,0.5576567654662957,0.5884903398040191,0.5155769136592034,0.5242226389017322,0.5178476938028158,0.5304897589250773,0.5382364777028619,0.5421298145328578,0.5298674100455718,0.5412416194519767
Hau Giang,0.4651726336124162,0.40976339267360085,0.37394379799875654,0.43924397531110343,0.4593025375226684,0.4904782829701112,0.44871711092686006,0.5356887143323088,0.5561709276447749,0.5686679029653197,0.5484804091190131,0.527389068320235
