Province,DHI201701,DHI201702,DHI201703,DHI201704,DHI201705,DHI201706,DHI201707,DHI201708,DHI201709,DHI201710,DHI201711,DHI201712
An Giang,0.40513852830367675,0.37525270630056534,0.4735194811180244,0.5014504562708737,0.5026091598372023,0.5536649005735489,0.6186104829616172,0.6839743153945735,0.6708602506174809,0.6350772172649495,0.618935822143268,0.5538901833417621
Ba Ria - Vung Tau,0.4273037132206616,0.3814913268716653,0.4243628805426191,0.4974468307356817,0.5516807364672462,0.6133666131947241,0.6395284369382558,0.6566001620909522,0.6690985126549848,0.6161716955040566,0.6426770715191885,0.6004095789947259
Bac Giang,0.4795220782069453,0.4634482277846157,0.4766852831989017,0.5647072811049921,0.5721545084021621,0.5332012868194274,0.5132117395355498,0.4756374206866593,0.488933393953718,0.45819972266615816,0.44908980988592156,0.39167626124015215
Bac Kan,0.4834993211768479,0.4672911600703972,0.45741309700261423,0.49716436563670163,0.49226799308649893,0.5308542645268881,0.556920959599913,0.502546699044436,0.5043855063658972,0.46143093913228406,0.48911936168267084,0.44441211003266795
Bac Lieu,0.4085618477710024,0.39220392896320005,0.4639465255477134,0.5271151331442875,0.558426951375765,0.5986900297557077,0.6566674708763217,0.6771688563034849,0.6887758471502848,0.6331935525717105,0.6361688964981309,0.5925072691951616
Bac Ninh,0.5439950268769883,0.558777934887777,0.5240254753329459,0.5849729252942542,0.6111693321996556,0.5573987696550182,0.4782350808330423,0.4009834978916483,0.4493687428393678,0.5312288074339692,0.5421486929907257,0.4704430718775998
Ben Tre,0.4015806123975569,0.36453093108744544,0.4474617314762656,0.5127087567185133,0.5398675119467655,0.5442350150696903,0.5508053432500983,0.5735612837601023,0.5745691123415994,0.5377112512987379,0.5326530539718135,0.5131429580257995
Binh Dinh,0.45679789168715657,0.35321199175133494,0.4250440251771907,0.44472310668104964,0.4669768064803664,0.5039779550812142,0.4497465158639016,0.51446838543633,0.5836233142712162,0.6988850281630911,0.6461578224267157,0.5698793558405381
Binh Duong,0.35840919724344245,0.32941952320857787,0.3857412996280121,0.4375776031449049,0.4507946772401364,0.5234652983304356,0.588760775275445,0.608993605958207,0.60646198984081,0.582207653339961,0.5390017269249558,0.49325425671899253
Binh Phuoc,0.4123683825140967,0.37698151008443576,0.4156095840318405,0.46659321078536486,0.5182299779637612,0.6071783667750349,0.6255958188828222,0.6831543100965932,0.6951690033127952,0.6700432560294306,0.6084387146813155,0.5775912021927541
Binh Thuan,0.3822762587547552,0.33937246378377955,0.39811729844700233,0.5170439874465868,0.5829758819673178,0.6347238374956186,0.6145105875357724,0.5989423034596938,0.622046366598022,0.6144377904595086,0.606559517347409,0.5648048535088157
Ca Mau,0.5131170742362867,0.4801070334849315,0.5246670076957052,0.5594152718881259,0.5877799335057684,0.6380865341895466,0.6943311279643104,0.6716292542493785,0.6463375473294911,0.5955153324578492,0.6720943842985639,0.6463255829116337
Can Tho,0.4426970349506201,0.46456105118448243,0.4704933194779199,0.4825700584187769,0.5444614402116361,0.6588756875290952,0.6390533016570663,0.6544548888428585,0.6777832759264873,0.6515506880472121,0.6409020626222428,0.5569447330134792
Cao Bang,0.4783831087155262,0.45020961483312294,0.3966957410560042,0.4295124469312497,0.49094541804236685,0.5442439954160395,0.5456898954009125,0.4741324685921514,0.46716928235398275,0.44155855645586667,0.4675671395874235,0.4175991665342356
Da Nang,0.4670497350729207,0.3987074584925359,0.41808574487929834,0.4507989656785239,0.4850439242914274,0.5260245478746962,0.48481575391164694,0.5680631242386253,0.6020249758235487,0.6805709841826149,0.6286669909844025,0.5745237147926133
Dak Lak,0.43284136151856795,0.3873104070257945,0.42944552859946655,0.4779667679708142,0.47673476692699995,0.5321250658231538,0.5153030907233217,0.5992827108094441,0.6568745253481262,0.6739818067099523,0.5797765216082682,0.5385735139562219
Dak Nong,0.4762490019147643,0.45221473090802394,0.5058780731411738,0.5675063039417046,0.5718713413802697,0.6214264018136293,0.5995027022091134,0.6502497896570077,0.6792358031708188,0.6726146241862782,0.6011935964512664,0.5824736579853351
