Province,DHI202001,DHI202002,DHI202003,DHI202004,DHI202005,DHI202006,DHI202007,DHI202008,DHI202009,DHI202010,DHI202011,DHI202012
An Giang,0.5641935188764733,0.5660558858680509,0.5811447057769713,0.5196451320820362,0.5193610670821304,0.4815574543187482,0.5715742143182719,0.5222022756968473,0.45799142514959285,0.44531992723383657,0.5008465323658782,0.4710602555717973
Ba Ria - Vung Tau,0.5690732347438806,0.5802041147554665,0.5256806561043753,0.5710656699849792,0.704034989390608,0.5813264871725112,0.5994475604024058,0.542303676741591,0.5936585724448799,0.5346580968530945,0.5627522698235601,0.47882390859531526
Bac Giang,0.4317128330988684,0.39043499662411013,0.4330899766498662,0.4272879392400194,0.47357191328787346,0.5674348021067067,0.696245800077863,0.6114772432177948,0.48848758625902594,0.3384570147623499,0.39338689067482097,0.36710343832118053
Bac Kan,0.5132693000767234,0.45244428601126635,0.47254256386840787,0.4147791114962435,0.435393805006212,0.5866537411770373,0.7334046936853591,0.6979405204878582,0.5415117490118108,0.4206743466532447,0.443367667353158,0.5094506072407889
Bac Lieu,0.6246765396634748,0.6003763725074754,0.5300567918115605,0.5724470581508198,0.6543382197418599,0.6277474937648485,0.6437532355681409,0.6439464513923465,0.6266553472618926,0.5049866191983094,0.5097710468044937,0.4891590255375716
Bac Ninh,0.4352349564826539,0.4585457663284211,0.46725278513436413,0.470293585748155,0.4877546540715363,0.5887649073740528,0.6532757471309404,0.5242273761166588,0.4254422673185249,0.3216845258727381,0.3949426146096037,0.4094844296198991
Ben Tre,0.5807295338183974,0.5555272351226991,0.5287920184220675,0.5234366088281591,0.6516948239030866,0.5455012288077983,0.5305319957892768,0.4633880861731592,0.4983406617938279,0.4416954374163123,0.45642657795421193,0.4355940754740025
Binh Dinh,0.5778589241582678,0.5509645250548417,0.6044943553051688,0.5734423332851979,0.6015048966793313,0.5752871323132579,0.5556736536733794,0.5233286345006601,0.5434009852599753,0.46085241684387324,0.5511471330843979,0.5448475911810322
Binh Duong,0.430317894171798,0.3962661696433772,0.3869847305368589,0.3739791417278797,0.48386351391522187,0.3938328956282261,0.4750983743951726,0.4405723779018722,0.46178142757033397,0.40161161692230357,0.4094843710592553,0.3180178396554495
Binh Phuoc,0.4691605193248939,0.4584005443511677,0.4420878566428104,0.4287153931585142,0.5291966485936415,0.46655252183416895,0.5240483615418005,0.5024341642089312,0.5370191603381553,0.4481055838954733,0.4439908157636669,0.3605363760813091
Binh Thuan,0.5590423191458929,0.6027187429642075,0.5691615013244941,0.6031609083059851,0.703862878382939,0.5376466029734115,0.5552900971301038,0.5164613892807701,0.5781075529647086,0.5730394296716785,0.5774709924818847,0.4548132113930428
Ca Mau,0.7184082653760497,0.7103746330808917,0.6151723649663676,0.6448105099404259,0.703210967697516,0.6266998210330883,0.6761509190359326,0.6666019700208811,0.6134436067661919,0.46654449583597535,0.512756707061756,0.5479531125857905
Can Tho,0.6212569430292877,0.6684276455890147,0.5458198087034586,0.4866826378115484,0.5664753542401783,0.603539018028163,0.5589381345906512,0.5123570339175627,0.5001392117221043,0.5173840298549888,0.5793136151041954,0.4754964942445226
Cao Bang,0.5120877724484973,0.4430077483539527,0.45004123455067024,0.38006435505651787,0.41330585473361947,0.5250414497746003,0.6627086712563217,0.6672484678450421,0.5613846689746956,0.4648423349095767,0.44776747188057914,0.4778145261928802
Da Nang,0.573042429009366,0.5576994640936983,0.6180317810530914,0.5652279060728124,0.6103382727640125,0.6256677066530022,0.6668145099334216,0.6375598520645488,0.6502176237069345,0.4168778629208473,0.4643764926360999,0.40597372790050856
Dak Lak,0.5519049931356558,0.5706804147412411,0.5643137882628149,0.6311141943324095,0.6833581349476515,0.6074964065371459,0.5266983271666457,0.4679986524187425,0.4381170459977815,0.38499282321837003,0.4443966830311032,0.4135681267786639
Dak Nong,0.5718077445137058,0.6355389737721692,0.6336288398638202,0.6325056679951739,0.6645593913842305,0.5698802565268204,0.5417770266722315,0.47479038843769933,0.4893461274470231,0.42043986671015393,0.4328003688885234,0.40454325182973655
Dien Bien,0.6193730224527884,0.567395000013668,0.5877602518762447,0.476732810953005,0.5632148815663043,0.5860220813206359,0.6762328079629397,0.5688286212184613,0.4659096486697209,0.39189324827612254,0.5313860380108427,0.612188502763892
Dong Nai,0.456282831748705,0.4613779006061797,0.44467332792321085,0.45542503437572435,0.5642224436829808,0.44546748689026433,0.4936321814465853,0.45490318200685403,0.5007247182401645,0.4277914341383564,0.4730751961294648,0.3430383385729457
Dong Thap,0.5568405014097054,0.6004373356943191,0.5607202157804457,0.452112329934319,0.4945605839940575,0.49964854355994304,0.5336056757359384,0.47835712911446754,0.45351607419155987,0.47717965219263164,0.5179049420960183,0.43750733556484833
Gia Lai,0.5673372488131164,0.5421788743547236,0.5786438371917186,0.6321410680058952,0.6771799641148678,0.6199255125456398,0.5686231880053612,0.5165323611847945,0.4983636647213598,0.40996219881150076,0.44189805474498606,0.42784826245746654
Ha Giang,0.5452354136959028,0.47950405491199616,0.43911279550165466,0.4094218522720038,0.4261732635215985,0.5203986113691562,0.6236549480419783,0.5784247127145993,0.4888329358486015,0.43732010489737294,0.45677882757586724,0.5126687888688928
