Province,DHI201901,DHI201902,DHI201903,DHI201904,DHI201905,DHI201906,DHI201907,DHI201908,DHI201909,DHI201910,DHI201911,DHI201912
An Giang,0.38782074452439647,0.4007782579658027,0.5106418542818417,0.5187312718487385,0.4610223758801096,0.5095405233224225,0.5157133586331358,0.46319846067547005,0.48842533761335694,0.5425531733044512,0.5998449463772977,0.6112894675903083
Ba Ria - Vung Tau,0.43251261575514166,0.4541662953450783,0.43134286514112086,0.5106648062906961,0.5187967932701151,0.6125613391215848,0.5711593635950417,0.5913259128507506,0.6176951388406305,0.7116135223177038,0.6629250666387339,0.6627199078231968
Bac Giang,0.4228677139780709,0.4386462350226585,0.5550234488646127,0.5345478636499232,0.5267405490002739,0.5629510203625747,0.5657682108952344,0.5306461578715213,0.5563537776971403,0.45702555121279115,0.46872570318453577,0.5063555351031215
Bac Kan,0.5058183735614126,0.45606427502134955,0.49634465660432453,0.47168227314751765,0.5097492006753396,0.5115778936945693,0.5142907544859757,0.5395524400232212,0.5851275359404251,0.5233595506057539,0.4988441757730372,0.5351392537473055
Bac Lieu,0.4292497574209666,0.41436072718118505,0.44205646743819665,0.5457306028430248,0.5574706725838625,0.5441247884896815,0.5574274605473586,0.5311512751692763,0.6337582396371454,0.6707548677399994,0.6882318136206803,0.6678493247010043
Bac Ninh,0.4028304820215498,0.5134097044986659,0.6280405008160586,0.5701411673132823,0.5726176785948677,0.6363502983637622,0.6150682319669252,0.4972962203322143,0.5292839214240443,0.4929056933549441,0.4809825769540701,0.5100108434203221
Ben Tre,0.3969791774816983,0.415662241440588,0.45858664932884213,0.4701123558095428,0.49975124388753833,0.5562365445677983,0.49250888494749073,0.5265072017736462,0.5889908907350561,0.6760603509352233,0.6887478518575391,0.6748340782007709
Binh Dinh,0.4909990484083402,0.4658244353833261,0.5525961996495959,0.5943088407593001,0.5296216266826574,0.5981697563769066,0.5868771434129194,0.5790544062223536,0.584533139183039,0.5696105777999947,0.5902399377948914,0.5964894108003442
Binh Duong,0.2825288019842587,0.3133553269330923,0.33481652883895713,0.3786016105841267,0.3837950930821848,0.5191718154451113,0.4707180961770247,0.5000015012032621,0.5152358087979786,0.5702584768078324,0.530869549120583,0.522755793262983
Binh Phuoc,0.3408309490125047,0.37579613114739596,0.3665520921817998,0.40019863355448765,0.4397451281131125,0.5849024479541022,0.515487283532521,0.5180185166108191,0.5405741883451084,0.5762541587747181,0.5125828350896731,0.5194347230389289
Binh Thuan,0.39368543852225446,0.4132890821538046,0.4134589644744357,0.49186017131403026,0.5426079865104896,0.6116599052523255,0.565275389994755,0.5478796468125889,0.55100689962453,0.6558527764136124,0.6117959868173078,0.6396826685178627
