Province,DHI201801,DHI201802,DHI201803,DHI201804,DHI201805,DHI201806,DHI201807,DHI201808,DHI201809,DHI201810,DHI201811,DHI201812
An Giang,0.3523507979641896,0.32909954397520114,0.38315559879758826,0.4871226734774227,0.44083142902923045,0.45937255599766696,0.5448383501123194,0.5756953311933162,0.5153812151771148,0.5871319006567056,0.5920371163520787,0.5034576704672371
Ba Ria - Vung Tau,0.42238380254771096,0.39010836151537476,0.37273050816068554,0.48057877306260066,0.5839060656753156,0.5813181677411968,0.6464702600428558,0.6085594235514599,0.5720386847440821,0.6093252641213633,0.5703359054171407,0.5196527542329703
Bac Giang,0.42681074944197006,0.47455321681202894,0.5477010458912539,0.5194470081159013,0.5156815555223407,0.5339498832890279,0.4774273067851337,0.4242806211200904,0.4326764882643057,0.44001314939050734,0.44869174029833947,0.3940617812884263
Bac Kan,0.4732062272967574,0.46671520005964895,0.47167475925020147,0.48527801977622925,0.494382837678744,0.5434241748331214,0.6032494643171247,0.5599857713029343,0.5621434431845533,0.482276979354553,0.5101968371503853,0.4481944577714426
Bac Lieu,0.4352483598568791,0.40788428276004635,0.4763346782312966,0.5769569091493798,0.5805494376774989,0.5867743718734623,0.541630447904748,0.5493371590909755,0.5811369689347695,0.7284987949268752,0.6743959606635089,0.5718976658153561
Bac Ninh,0.46761775867348093,0.5573821413531186,0.6369687179222693,0.5750885470066863,0.5229095296851713,0.5629667885584984,0.4712559328565009,0.39143790063516143,0.4248893702342004,0.4692316258504741,0.46740484445381153,0.38167861850339246
Ben Tre,0.34746197525425204,0.35435985682705823,0.38234805104837705,0.4621957754982271,0.5011329957409484,0.474808244872048,0.5520431867910132,0.5582121275494909,0.542837045316472,0.5814052340092396,0.561052557701292,0.48839925783442706
Binh Dinh,0.4017129581010812,0.4257126293074147,0.4320240978932382,0.4944257858235632,0.5233980935770869,0.4327608835288098,0.4821817940934091,0.5055065051228471,0.539188020445157,0.6044015888606081,0.5915335419800896,0.5394503864248417
Binh Duong,0.25283921701899764,0.2524063346066971,0.25656227302856477,0.366450068136621,0.3886541846098737,0.38515324844892646,0.5638216866554577,0.5483108449080419,0.4822939899016317,0.5251625378273325,0.44123799634708943,0.3530749104786679
Binh Phuoc,0.30899256004692705,0.28604964137421224,0.27269184140418684,0.34658766182212225,0.4256856615213822,0.4444835854786697,0.6089048285627212,0.5825813681507505,0.5129236020639613,0.5532369330003207,0.4687025491934548,0.39603444285901274
