Province,DHI201601,DHI201602,DHI201603,DHI201604,DHI201605,DHI201606,DHI201607,DHI201608,DHI201609,DHI201610,DHI201611,DHI201612
An Giang,0.5906978692133357,0.596457504443062,0.7438852509096104,0.8004293624431934,0.6413706537209894,0.5965707870233081,0.5970174244377997,0.6653839580124057,0.6630899671821859,0.6502897804667976,0.588239552368941,0.5130304159120662
Ba Ria - Vung Tau,0.643235483571693,0.5774040120401629,0.6355931835935352,0.7054621029232735,0.6384909047877405,0.6232498619414063,0.6148844671928005,0.6319539818957085,0.6102778296628212,0.5553797965363143,0.5677478481988047,0.48311595472789076
Bac Giang,0.32324963338449375,0.37063756558290034,0.503645304001085,0.5423560109044259,0.5644456884094305,0.5393144807584063,0.5869413142338032,0.5483088976290867,0.5633690419069256,0.5560330740233426,0.5636659493636567,0.5609781728159092
Bac Kan,0.3882845807858089,0.4579681028661489,0.5989666223027693,0.5954661936975146,0.6139126995616075,0.65376539924339,0.6738468336758158,0.6285589953243811,0.6049844014827379,0.5730224113316865,0.5925515339973801,0.5954424571691196
Bac Lieu,0.5732710069412768,0.5635241802046805,0.6625350355418785,0.732136795888987,0.6857694216926401,0.6820229603860867,0.6021239424392726,0.6325832281810471,0.6301813726571668,0.6308098794474755,0.5943957455256813,0.48572247749001707
Bac Ninh,0.3767372245432037,0.49210727193180115,0.5959304471328992,0.5956958725869724,0.6063392851038737,0.5713710032674458,0.5649572918805946,0.5025111147085936,0.5519763369058454,0.6020035508918951,0.6200400175570606,0.6273124576833236
Ben Tre,0.5950808376376094,0.57357239382845,0.6582722420433832,0.7426558470860826,0.6473836983940521,0.5757799701287513,0.5708196331868274,0.6156779284446222,0.5556464019124532,0.4831536992025382,0.4891642014089465,0.45802184149826164
Binh Dinh,0.5546232291425729,0.5257565894613534,0.6344486386514797,0.7329116725536402,0.6961366067264096,0.59409847099365,0.599400546514974,0.5690172141484005,0.5369433264448187,0.5533674839766999,0.5836618230649262,0.528071281748848
Binh Duong,0.5239377230765924,0.4699376044928959,0.5605807654010438,0.6890950640270656,0.6068669002964999,0.5663930537625386,0.5773617293794363,0.5622365615966928,0.5303650034415498,0.4578039007201976,0.4653870506158453,0.382611149445703
Binh Phuoc,0.5823049553125419,0.5035993661417202,0.5979863693082463,0.7198608922985459,0.6857205413493309,0.6671826479527739,0.6665474944055796,0.6419670695328342,0.6270523229044631,0.5234666349314481,0.5308553079119442,0.4445590710296237
Binh Thuan,0.6142990422843843,0.5266864983756835,0.6261161533785512,0.7234887666296649,0.6458448472057692,0.5961061159786238,0.5800995422272233,0.5856276939305309,0.5936049230417461,0.54563122698004,0.5569192678038847,0.4517850328050262
Ca Mau,0.6784206817318859,0.6798070129219687,0.7669544430600435,0.809032161009283,0.717520991895479,0.7052741481365393,0.6626590198806986,0.6578398899644836,0.6175332503830364,0.5879932277908075,0.5853172141609388,0.5341443104857161
Can Tho,0.6087833835988642,0.6806207607357477,0.732377288831247,0.7501309363042312,0.6584064850220678,0.6691302246610638,0.5664543741866938,0.6211823499592665,0.6692300725902233,0.6818252175427949,0.625345644726126,0.4915682740874695
Cao Bang,0.36730185437309154,0.41857084588841187,0.5413144264624868,0.5434832862711401,0.5879974485684064,0.6582300797627598,0.7018917748557081,0.6369832995325393,0.6026514615412634,0.5524142227752237,0.5751727479876612,0.5832658592456433
Da Nang,0.5741731974659341,0.5070022990080137,0.5717593765805769,0.6847185515789016,0.6725779761849657,0.6261542802033204,0.6649597626622634,0.6623427964993371,0.5923618555008615,0.5640037313935863,0.5539792246296893,0.5094716996734941
Dak Lak,0.6008270567567574,0.6148834226426363,0.6723336128330403,0.7972723518953698,0.729003971788918,0.6437551185128958,0.6177087130514122,0.590742658922049,0.539089520089675,0.5141670160301168,0.5216199010412519,0.48277740007057857
Dak Nong,0.6566461407735045,0.6421447510359715,0.7474482951988581,0.8426615064396216,0.7506426972591121,0.680467427540452,0.6533417672472547,0.6220702212863458,0.6112973720890553,0.5456348410007433,0.5379838422689984,0.5002298896147893
Dien Bien,0.3638276120695106,0.31660578020996866,0.454220347906711,0.5909957497152136,0.5551169206690465,0.5606832843808011,0.6347084195529556,0.6514107123980515,0.6289331962250707,0.5925551446994557,0.6196855996647057,0.6167259312865709
Dong Nai,0.5698096055257331,0.5116940800769842,0.593530536008601,0.6872801415692883,0.6329132131601276,0.602308761476954,0.5910210548268056,0.581298872000707,0.5749411066798795,0.5062809531985006,0.5178796210091434,0.41436615397533877
Dong Thap,0.6084576044889394,0.6508998082511234,0.6898581152204969,0.7388456362976163,0.6239393334549378,0.6206359306485578,0.5906145834859816,0.640145650870548,0.6450314803622044,0.6376843208819959,0.5689467734783713,0.4804302044782711
Gia Lai,0.6102038708505837,0.5818799769895493,0.6920546479739847,0.7857404576518825,0.73774058318453,0.6471780313795852,0.6425609392072138,0.6001914034608868,0.5536170208303337,0.5147101386742488,0.5114277551597717,0.4665658815376775
Ha Giang,0.3779526293393535,0.417435537613849,0.5462168126676167,0.5712444913910067,0.5580303808611198,0.6448085611756178,0.6898672590030702,0.6376849784125684,0.6139891608223194,0.6027430655422366,0.6148651062326536,0.6174930617026805
Ha Nam,0.38480470776974224,0.4401320456043402,0.5071591797826143,0.6025444429346474,0.6277331248523268,0.6340760665034969,0.6582420641317226,0.5905197275014543,0.6074302297361035,0.6426848271583093,0.6268116965416316,0.6205379708715799
Ha Noi,0.3659409463547141,0.44619315995502806,0.5514728323104849,0.5936128933610092,0.6268062764561654,0.6483067718839775,0.6158850745391603,0.580139739123252,0.6078198361940089,0.638791503647612,0.6476610987199539,0.6245658429674963
Ha Tinh,0.5864175296972394,0.5711126935598807,0.6191768218101493,0.6401779738082156,0.5961386102174826,0.5670540595656541,0.6297811899851572,0.6083468328929037,0.5726033990368811,0.5351888590762198,0.5046690851991894,0.5157817416108817
Hai Duong,0.3888068117404547,0.398124088018698,0.5376379687324435,0.603232304236169,0.6227111675156308,0.5133178938537586,0.5652175485394065,0.5505936906598974,0.5825020233217835,0.6138139691373344,0.5943364008085574,0.6386222147903325
Hai Phong,0.41621354408294536,0.4283914955615094,0.5410252115822368,0.6024146837773144,0.6204585427627244,0.538159534182412,0.5755425127313659,0.5789000323234031,0.6058240352114623,0.645427140470268,0.614310871198253,0.6420083197500946
